P 24 -11 211 7.7218051661953335e-01 -3.2926924112013545e-01 1.7518967690938825e+03 1.7518969757729342e+03 1.3957000000000000e-01 1
V -12 0 [12,15]
P 25 -12 -213 1.4464363976238370e-01 -2.6964030052049881e-01 1.0580372924760331e+02 1.0580732477533972e+02 8.1683887022619828e-01 2
P 26 -12 321 2.2662917258668133e-02 4.6870284230589221e-01 1.2788678204091769e+02 1.2788859580387044e+02 4.9368000000000001e-01 1
P 27 -12 -321 -5.6348098351453302e-01 -2.4758654376824912e-01 1.6579339172053924e+01 1.6598102820498450e+01 4.9368000000000001e-01 1
P 28 -12 211 2.3787996810051781e-01 -3.4907636560917538e-01 3.5321137860525362e+00 3.5600208947101364e+00 1.3957000000000000e-01 1
P 29 -12 113 2.6392070308556187e-01 2.0987081744257202e-01 6.9799562627953637e+00 7.0289073776997224e+00 7.5633960375898479e-01 2
P 30 -12 223 -3.2646436755405978e-01 9.3655355925811992e-02 2.5769389140662864e+00 2.7157967951216371e+00 7.8713896904407810e-01 2
P 31 -12 -211 1.9855110713643137e-01 6.7126119214367383e-02 3.5809819063303894e-01 4.3776998190892447e-01 1.3957000000000000e-01 1
P 32 -12 223 3.0039971752172623e-01 -1.9581847329112501e-01 2.1509753257953942e-01 8.9130295274082316e-01 7.8712714365184022e-01 2
P 33 -12 2214 -5.0434092664124708e-01 2.6548376347095182e-01 4.9164883240641755e-01 1.3620904070091266e+00 1.1352225788397816e+00 2
P 34 -12 -2114 4.8868287381728598e-01 -1.5688432336061009e-01 -1.1560369142814015e+00 1.8495399370512260e+00 1.3494269115026383e+00 2
P 35 -12 113 -6.8293700739613961e-01 -3.2032974346137472e-01 -5.3436970320425976e+00 5.4525021120915351e+00 7.7824624090614891e-01 2
P 36 -12 221 5.5849826524480541e-02 2.6256560847118421e-01 -7.6939265369998422e+00 7.7180765143347108e+00 5.4784999999999995e-01 2
P 37 -12 -211 8.4164223451868436e-01 2.6957952505468125e-01 -4.5273947658267808e+00 4.6149558959745267e+00 1.3957000000000000e-01 1
P 38 -12 223 -6.5058770809620214e-01 -2.8079050421383284e-01 -4.1892592469573110e+01 4.1906432196824824e+01 8.1095497542046979e-01 2
P 39 -12 221 3.9449638058711883e-01 3.0905751549949262e-01 -1.8016330001014995e+02 1.8016482995887958e+02 5.4784999999999995e-01 2
P 40 -12 213 -2.5575308555948523e-01 -5.2930859442070843e-01 -5.5497215642523270e+02 5.5497294714761961e+02 7.2943897121967349e-01 2
P 41 -12 2112 -2.0137322847587918e-01 7.7859825779086983e-02 -3.1152152018122997e+03 3.1152153509841924e+03 9.3957000000000002e-01 1
P 42 17 -3 3.9104646159377587e-02 -3.1417289426237283e-01 1.3142499238051641e-01 6.0622298658404361e-01 5.0000000000000000e-01 51
P 43 42 -3 -8.1490440497744043e-01 1.6458752494509898e-01 -2.6895936483514415e-01 1.0067260712586483e+00 5.0000000000000000e-01 62
P 44 43 -3 -8.1490440497744043e-01 1.6458752494509898e-01 -2.6895936483514415e-01 1.0067260712586483e+00 5.0000000000000000e-01 71
P 45 17 21 5.7571454096885610e-01 -5.7976056630183970e-01 -1.9059751776138398e+00 2.0737191045563179e+00 0.0000000000000000e+00 51
P 46 45 21 5.6733450643234073e-01 -5.7132163828667604e-01 -1.8782320224956948e+00 2.0435342881619363e+00 0.0000000000000000e+00 52
P 47 46 21 3.7584459524939473e-01 -4.6382230359963561e-01 -9.9642432156965888e-01 1.1615729498023548e+00 0.0000000000000000e+00 62
P 48 47 21 3.7584459524939473e-01 -4.6382230359963561e-01 -9.9642432156965888e-01 1.1615729498023548e+00 0.0000000000000000e+00 71
P 49 18 21 -6.1481918712823347e-01 8.9393346056421219e-01 -2.4280588542519517e+03 2.4280590966512664e+03 0.0000000000000000e+00 52
P 50 49 21 -9.0900952711021965e-01 1.0715139879380169e+00 -2.4003348764156967e+03 2.4003352877000543e+03 0.0000000000000000e+00 51
P 51 49 21 3.0257037451849100e-01 -1.8601945538888431e-01 -2.7751720992023809e+01 2.7753993768257104e+01 0.0000000000000000e+00 51
P 52 51 21 2.9664335053792357e-01 -1.7840049424086857e-01 -2.7283415333858237e+01 2.7285611158516200e+01 0.0000000000000000e+00 62
P 53 52 21 2.9664335053792357e-01 -1.7840049424086857e-01 -2.7283415333858237e+01 2.7285611158516200e+01 0.0000000000000000e+00 71
P 54 50 21 -1.1997059990785601e+00 1.6126585033878200e+00 -2.4021371716589551e+03 2.4021380125689921e+03 0.0000000000000000e+00 62
P 55 54 21 -1.1997059990785601e+00 1.6126585033878200e+00 -2.4021371716589551e+03 2.4021380125689921e+03 0.0000000000000000e+00 71
V -22 0 [16,44,48,53,55]
P 56 -22 211 -3.9197358749852618e-01 -1.8321442784777764e-01 -2.8175319844774646e+02 2.8175356524122276e+02 1.3957000000000000e-01 1
P 57 -22 1114 1.4844097638194073e-01 6.5459941494586338e-01 -1.3600736675782418e+03 1.3600743099062461e+03 1.1387238928898304e+00 2
P 58 -22 211 4.0322055601361109e-02 -1.1221013694374810e-01 -7.9444855991807003e+01 7.9445068067985531e+01 1.3957000000000000e-01 1
P 59 -22 -2212 -1.2948448050018713e-02 1.9584147891159878e-01 -3.9695033205089720e+02 3.9695148946370966e+02 9.3827000000000005e-01 1
P 60 -22 111 -4.2609405443385220e-02 7.6346383878698507e-02 -3.8815330863729599e+01 3.8815664028752138e+01 1.3497999999999999e-01 2
P 61 -22 211 -1.7343553575522017e-02 6.0759113197018666e-01 -5.0979661489467099e+02 5.0979699636780219e+02 1.3957000000000000e-01 1
P 62 -22 -211 4.0482041706792232e-02 -2.6300184666315934e-01 -2.6519614872256847e+02 2.6519631895227087e+02 1.3957000000000000e-01 1
P 63 -22 211 -3.8406993309816850e-01 -1.7973878361728493e-01 -1.0709184231368184e+02 1.0709277279848179e+02 1.3957000000000000e-01 1
P 64 -22 -211 -3.0775363863125627e-01 3.6831311731680094e-01 -1.7659701392697357e+01 1.7666773896742306e+01 1.3957000000000000e-01 1
P 65 -22 211 4.8783598951441559e-01 2.2905096436500047e-01 -2.9383258047345873e+00 2.9905997085218901e+00 1.3957000000000000e-01 1
P 66 -22 111 2.0983479765308305e-01 -5.4692259524854370e-01 -1.6612958375171633e+01 1.6623831103060596e+01 1.3497999999999999e-01 2
P 67 -22 111 1.5975114472447077e-01 -4.3613337942992475e-01 -6.5607620065401253e+00 6.5785675081855128e+00 1.3497999999999999e-01 2
P 68 -22 -211 -4.3231829334907090e-01 1.4259016748428316e-01 -1.0607478420435403e+00 1.1627109838336769e+00 1.3957000000000000e-01 1
P 69 -22 221 1.8000660777363370e-01 3.1356756270096775e-01 -2.7560639426949987e+00 2.8331528504378114e+00 5.4784999999999995e-01 2
P 70 -22 111 -4.2345482531060330e-01 -1.6709308819424590e-01 -2.0135111110002479e-01 5.1574796125853761e-01 1.3497999999999999e-01 2
P 71 -22 321 -1.6065117433447762e-01 8.2647063845478957e-02 -2.7069058197750956e-01 5.9129744676317375e-01 4.9368000000000001e-01 1
V -25 0 [19] @ 1.6398777846069144e-07 -9.3292518517087342e-08 3.7954288002685444e-05 3.7955291884901582e-05
P 72 -25 310 4.0493987805582471e-01 -2.3036997894867894e-01 9.3721647428665904e+01 9.3724126344753429e+01 4.9761000000000000e-01 2
V -26 0 [20] @ 2.0137697459747190e-05 8.6802259620369572e-06 2.3912319257228545e-02 2.3912331406186597e-02
P 73 -26 22 1.4507818667851299e-01 1.2558855923708936e-01 1.6168128228542818e+02 1.6168139615189736e+02 0.0000000000000000e+00 1
P 74 -26 22 1.2654157437678265e-01 -8.5085948356353538e-03 1.6085104574806195e+02 1.6085109574824583e+02 0.0000000000000000e+00 1
V -27 0 [22] @ 1.0093057250762275e-05 -9.5812294938271472e-06 3.9712497880965626e-02 3.9712500438631768e-02
P 75 -27 22 3.3334894607690213e-01 -2.3123085756911285e-01 1.0825855360110806e+03 1.0825856120278097e+03 0.0000000000000000e+00 1
P 76 -27 22 1.0929187399983012e-01 -1.8896325954745449e-01 6.5904459573106465e+02 6.5904463188326611e+02 0.0000000000000000e+00 1
P 77 25 -211 2.2363679461190969e-01 -3.9073424853602190e-01 9.7854185072787701e+01 9.7855320257577944e+01 1.3957000000000000e-01 1
P 78 25 111 -7.8993154849525959e-02 1.2109394801552309e-01 7.9495441748156139e+00 7.9520045177617771e+00 1.3497999999999999e-01 2
P 79 29 211 4.2422139470784148e-01 3.3113757558097279e-01 5.5895564296786784e+00 5.6171377721355285e+00 1.3957000000000000e-01 1
P 80 29 -211 -1.6030069162227956e-01 -1.2126675813840071e-01 1.3903998331166869e+00 1.4117696055641953e+00 1.3957000000000000e-01 1
P 81 30 211 -2.0159974949045334e-01 2.0358939480015759e-01 1.2018287373145766e+00 1.2433676847195505e+00 1.3957000000000000e-01 1
P 82 30 -211 -4.3397763794732647e-02 -6.4974609413695261e-02 1.0400021805081061e-01 1.9079018849369983e-01 1.3957000000000000e-01 1
P 83 30 111 -8.1466854268873734e-02 -4.4959429460650319e-02 1.2711099587008987e+00 1.2816389219083866e+00 1.3497999999999999e-01 2
P 84 32 211 1.9219516815992427e-01 1.1738105788641952e-01 -8.2534241414848483e-02 2.7750492125452653e-01 1.3957000000000000e-01 1
P 85 32 -211 1.4752963611936468e-02 -2.5653659084768748e-01 3.2587631809665885e-01 4.3783996160163768e-01 1.3957000000000000e-01 1
P 86 32 111 9.3451585749865451e-02 -5.6662940329856991e-02 -2.8244544102271001e-02 1.7595806988465892e-01 1.3497999999999999e-01 2
P 87 33 2212 -3.9146895279989286e-01 2.1701995316783659e-01 2.6824593206144087e-01 1.0736163532876746e+00 9.3827000000000005e-01 1
P 88 33 111 -1.1287197384135420e-01 4.8463810303115203e-02 2.2340290034497667e-01 2.8847405372145207e-01 1.3497999999999999e-01 2
P 89 34 -2112 3.8499315861122291e-01 -3.8217466915786169e-01 -1.1291520838662465e+00 1.5659033888854241e+00 9.3957000000000002e-01 1
P 90 34 111 1.0368971520606299e-01 2.2529034579725160e-01 -2.6884830415155103e-02 2.8363654816580208e-01 1.3497999999999999e-01 2
P 91 35 211 -8.7529422851063576e-02 -3.5619451879913128e-01 -3.1677167133161528e+00 3.1919343501722706e+00 1.3957000000000000e-01 1
P 92 35 -211 -5.9540758454507614e-01 3.5864775337756505e-02 -2.1759803187264461e+00 2.2605677619192655e+00 1.3957000000000000e-01 1
V -35 0 [36] @ 9.5895333199994325e-09 4.5083070222549188e-08 -1.3210634567655727e-06 1.3252100589439779e-06
P 93 -35 22 2.4177994002007300e-01 1.4398057544193166e-01 -6.3454439187149356e+00 6.3516806020971366e+00 0.0000000000000000e+00 1
P 94 -35 22 -1.8593011349559246e-01 1.1858503302925254e-01 -1.3484826182849063e+00 1.3663959122375731e+00 0.0000000000000000e+00 1
P 95 38 211 -3.6267438709683525e-01 -4.2841913523209166e-02 -2.4845649421596303e+01 2.4848725180708552e+01 1.3957000000000000e-01 1
P 96 38 -211 2.0772642191381412e-02 -6.2919565477121978e-02 -1.9938643312263926e+00 1.9998412763567792e+00 1.3957000000000000e-01 1
P 97 38 111 -3.0868596319074854e-01 -1.7502902521350178e-01 -1.5053078716750427e+01 1.5057865739759503e+01 1.3497999999999999e-01 2
V -37 0 [39] @ 1.7479970088729271e-07 1.3694209611221240e-07 -7.9829606816093790e-05 7.9830284729994830e-05
P 98 -37 111 1.6796742132000786e-01 1.0975378897136612e-01 -4.2243456136649598e+01 4.2244148292020967e+01 1.3497999999999999e-01 2
P 99 -37 111 1.7303847365458308e-01 2.2223244434030562e-01 -1.1072880222046500e+02 1.1072924270648626e+02 1.3497999999999999e-01 2
P 100 -37 111 5.3490485612527852e-02 -2.2928717812179131e-02 -2.7191041653035327e+01 2.7191438960372320e+01 1.3497999999999999e-01 2
P 101 40 211 -2.9265817952885037e-01 -1.1949624199300185e-01 -4.0959269931764555e+02 4.0959284508187153e+02 1.3957000000000000e-01 1
P 102 40 111 3.6905093969365144e-02 -4.0981235242770664e-01 -1.4537945710758717e+02 1.4538010206574813e+02 1.3497999999999999e-01 2
P 103 57 2112 7.7799675808570445e-02 5.4017877169238693e-01 -1.2495287719519392e+03 1.2495292443850208e+03 9.3957000000000002e-01 1
P 104 57 -211 7.0641300573370286e-02 1.1442064325347645e-01 -1.1054489562630272e+02 1.1054506552122537e+02 1.3957000000000000e-01 1
V -41 0 [60] @ -3.5046143214056505e-06 6.2794734529758061e-06 -3.1925525132208469e-03 3.1925799159714186e-03
P 105 -41 22 -4.3318761289363551e-02 -2.8738766308385795e-02 -1.7081880691004280e+01 1.7081959793111366e+01 0.0000000000000000e+00 1
P 106 -41 22 7.0935584597833432e-04 1.0508515018708429e-01 -2.1733450172725316e+01 2.1733704235640772e+01 0.0000000000000000e+00 1
V -42 0 [66] @ 1.4655527560277496e-05 -3.8198808098813718e-05 -1.1603016851742534e-03 1.1610610709625701e-03
P 107 -42 22 2.1002309871837541e-01 -3.9916588566734434e-01 -1.3113661170263592e+01 1.3121415792312769e+01 0.0000000000000000e+00 1
P 108 -42 22 -1.8830106529234975e-04 -1.4775670958119930e-01 -3.4992972049080424e+00 3.5024153107478266e+00 0.0000000000000000e+00 1
V -43 0 [67] @ 8.8426092745238749e-06 -2.4141029302344291e-05 -3.6315392335394589e-04 3.6413950060447896e-04
P 109 -43 22 5.8631336350867203e-02 -8.7792941152087578e-02 -2.2891583691613828e+00 2.2915914280735175e+00 0.0000000000000000e+00 1
P 110 -43 22 1.0111980837360356e-01 -3.4834043827783712e-01 -4.2716036373787425e+00 4.2869760801119954e+00 0.0000000000000000e+00 1
V -44 0 [69] @ 1.6971190561814022e-08 2.9563441733727116e-08 -2.5984427433264722e-07 2.6711228832217036e-07
P 111 -44 22 4.6826859031302848e-02 -2.3985448072034066e-02 -1.9321698527861011e+00 1.9328860277992121e+00 0.0000000000000000e+00 1
P 112 -44 22 1.3317974874233085e-01 3.3755301077300182e-01 -8.2389408990889779e-01 9.0026682263859925e-01 0.0000000000000000e+00 1
V -45 0 [70] @ -1.7449717666546110e-05 -6.8855685157966972e-06 -8.2972724138014761e-06 2.1252931300185355e-05
P 113 -45 22 -1.8642414545761737e-01 -1.4591677670937744e-01 -1.0584255991122124e-01 2.5932280120231932e-01 0.0000000000000000e+00 1
P 114 -45 22 -2.3703067985298598e-01 -2.1176311484868461e-02 -9.5508551188803581e-02 2.5642516005621829e-01 0.0000000000000000e+00 1
V -46 0 [72] @ 4.9608704895701869e+00 -2.8222353296897476e+00 1.1481728033184074e+03 1.1482031722258209e+03
P 115 -46 211 1.8442138970612720e-01 -1.1364025750263983e-01 1.7062589213275633e+01 1.7064535030377961e+01 1.3957000000000000e-01 1
P 116 -46 -211 2.2051848834969756e-01 -1.1672972144603913e-01 7.6659058215390274e+01 7.6659591314375476e+01 1.3957000000000000e-01 1
V -47 0 [78] @ -1.4261804078124939e-06 2.1862883751558388e-06 1.4352489370450815e-04 1.4356931391931033e-04
P 117 -47 22 -2.7616589423251882e-02 5.4695711912995867e-02 6.3216521816233104e+00 6.3219491141843012e+00 0.0000000000000000e+00 1
P 118 -47 22 -5.1376565426274078e-02 6.6398236102527222e-02 1.6278919931923028e+00 1.6300554035774755e+00 0.0000000000000000e+00 1
V -48 0 [83] @ -1.5674193197030453e-06 -8.6501779124635173e-07 2.4456109476856970e-05 2.4658686346873229e-05
P 119 -48 22 -7.9145308269899392e-02 -8.6018305249004334e-02 1.0701114665446216e+00 1.0764765113504930e+00 0.0000000000000000e+00 1
P 120 -48 22 -2.3215459989743611e-03 4.1058875788354016e-02 2.0099849215627708e-01 2.0516241055789369e-01 0.0000000000000000e+00 1
V -49 0 [86] @ 1.0429792685073017e-05 -6.3239453437302665e-06 -3.1522711691546917e-06 1.9638042259386963e-05
P 121 -49 22 -6.1839083488309937e-03 2.1943851233478067e-02 2.8871146929758451e-02 3.6787449686862768e-02 0.0000000000000000e+00 1
P 122 -49 22 9.9635494098696459e-02 -7.8606791563335054e-02 -5.7115691032029459e-02 1.3917062019779616e-01 0.0000000000000000e+00 1
V -50 0 [88] @ -1.5953513108439731e-05 6.8499558096007223e-06 3.1576138680151568e-05 4.0773404068918493e-05
P 123 -50 22 -7.3455382884626830e-03 -1.0502121824110047e-02 1.4236503895115477e-01 1.4294074230645204e-01 0.0000000000000000e+00 1
P 124 -50 22 -1.0552643555289151e-01 5.8965932127225257e-02 8.1037861393821936e-02 1.4553331141500006e-01 0.0000000000000000e+00 1
V -51 0 [90] @ 4.0231123969375193e-05 8.7411599239715717e-05 -1.0431188311957958e-05 1.1004965255065924e-04
P 125 -51 22 4.2637110027408977e-02 3.1585081426045533e-02 -5.7501471628180062e-02 7.8242953418091968e-02 0.0000000000000000e+00 1
P 126 -51 22 6.1052605178654011e-02 1.9370526437120605e-01 3.0616641213024959e-02 2.0539359474771010e-01 0.0000000000000000e+00 1
V -52 0 [97] @ -4.2813302960192298e-05 -2.4275709221874243e-05 -2.0877917898249731e-03 2.0884557275830965e-03
P 127 -52 22 -2.0669425187138138e-01 -4.4375327028924910e-02 -9.2831943648927489e+00 9.2856011813873494e+00 0.0000000000000000e+00 1
P 128 -52 22 -1.0199171131936714e-01 -1.3065369818457687e-01 -5.7698843518576775e+00 5.7722645583721537e+00 0.0000000000000000e+00 1
V -53 0 [98] @ 2.7812771608743538e-05 1.8196230692275663e-05 -7.0307218978344754e-03 7.0308364655167583e-03
P 129 -53 22 1.0390417207104666e-01 6.6746491328455393e-02 -1.2909699343142703e+01 1.2910290016162209e+01 0.0000000000000000e+00 1
P 130 -53 22 6.4063249248961174e-02 4.3007297642910711e-02 -2.9333756793506890e+01 2.9333858275858756e+01 0.0000000000000000e+00 1
V -54 0 [99] @ 6.2984616377353402e-06 8.0015304260809200e-06 -3.9984133596049805e-03 3.9984296258873241e-03
P 131 -54 22 2.2237900686993689e-02 1.0243089711452959e-01 -5.6771059967267909e+01 5.6771156729628473e+01 0.0000000000000000e+00 1
P 132 -54 22 1.5080057296758939e-01 1.1980154722577602e-01 -5.3957742253197097e+01 5.3958085976857788e+01 0.0000000000000000e+00 1
V -55 0 [100] @ 1.0138271879087035e-05 -4.1339041934181096e-06 -5.1446029754623696e-03 5.1446776583241221e-03
P 133 -55 22 4.2783413654907260e-03 -7.3016180969882410e-02 -1.0856145684491340e+01 1.0856392070563231e+01 0.0000000000000000e+00 1
P 134 -55 22 4.9212144247037126e-02 5.0087463157703266e-02 -1.6334895968543993e+01 1.6335046889809089e+01 0.0000000000000000e+00 1
V -56 0 [102] @ 5.6154143018793766e-06 -6.2356328013136954e-05 -2.2120682942009806e-02 2.2120781077711184e-02
P 135 -56 22 -3.7547262458149633e-03 2.4760563836516286e-03 -1.2148815953947203e+01 1.2148816786490212e+01 0.0000000000000000e+00 1
P 136 -56 22 4.0659820215180109e-02 -4.1228840881135825e-01 -1.3323064115363997e+02 1.3323128527925792e+02 0.0000000000000000e+00 1
HepMC::Asciiv3-END_EVENT_LISTING

